Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	C1(C(C(C(C1O)O)C(C)O)O)=O	BZNNDJKSFMVVFY	69.6262	C7H12O5	176.068475	-1.8528	-0.366	5	4	97.99	-0.76782
G4	C1(C(C(CC1O)O)O)=O	UYXNQXGILWQCMO	61.2334	C5H8O4	132.04226	-1.5547	-0.335	4	3	77.76	0.8525
G4	C(C(CO)C(CCO)O)=O	LPRRSVCCPPMUTK	10.8718	C6H12O4	148.07356	-1.4555	-0.249	4	3	77.76	-4.2768
G4	C(C(CO)C(C(C=O)O)O)=O	LSXJNSZWMLDYSX	42.3788	C6H10O5	162.052825	-2.6896	-0.065	5	3	94.83	-3.2846
G4	C(C(CO)C(CO)(CO)O)=O	PQESEVRWNSLGOR	1002.5	C6H12O5	164.068475	-2.456	0.419	5	4	97.99	-4.2278
G4	C(CO)(C(C(CCO)O)O)=O	XHRNJZRZXZGBMY	68.7629	C6H12O5	164.068475	-2.1552	0.096	5	4	97.99	-0.17952
G4	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	80.4566	C5H8O5	148.037175	-2.8219	0.151	5	3	94.83	-1.1285
G4	C(CO)(C(C(C=CC)O)O)=O	RYCHFSRHCLUTFG	61.8992	C7H12O4	160.07356	-1.0263	-0.453	4	3	77.76	-1.0966
G4	C(CO)(C(C(CC=C)O)O)=O	JQKKLRZBJKKYKA	76.3371	C7H12O4	160.07356	-0.9596	-0.62	4	3	77.76	-1.0595
G4	C(C(C=C)C(CO)(CO)O)=O	HGCVVBPIYXZFHU	86.7317	C7H12O4	160.07356	-1.2604	-0.297	4	3	77.76	-7.0237
G4	C(C(C(C(C(O)=O)=O)O)O)=CC	SPTSHTNHKIYNET	76.2832	C7H10O5	174.052825	-1.3759	-0.435	5	3	94.83	-9.2658
G4	C(CC(C(C(C(O)=O)=O)O)O)=C	CGSUUBFQEYBUHN	85.5956	C7H10O5	174.052825	-1.3092	-0.602	5	3	94.83	-9.1907
G4	C(C(C=C)C(C(O)=O)(CO)O)=O	AWDGWTFUKQQJCS	60.0182	C7H10O5	174.052825	-1.61	-0.279	5	3	94.83	-4.0975
G4	C(C(C=C)C(C(C(O)=O)O)O)=O	SJZRASXLILFQKA	67.9431	C7H10O5	174.052825	-1.6313	-0.548	5	3	94.83	-4.0263
G4	C(CC(C(CO)C(C)O)O)=O	IJELXDASVZBMMQ	20.0411	C7H14O4	162.08921	-1.0962	-0.627	4	3	77.76	-3.2191
G4	C(C(CO)C(CC=O)O)(O)=O	BYFVAUICPMKDDJ	-3.65595	C6H10O5	162.052825	-1.8051	-0.231	5	3	94.83	-1.8189
G4	C(CC(C(C(CO)O)=O)O)=O	ZJCIIXYSVSASQO	53.5581	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.2863
G4	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	57.2663	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-3.3059
G4	C(CC(CC(CC=O)O)O)(O)=O	ZRWVYMYNRQBSNY	-17.8436	C7H12O5	176.068475	-1.2097	-0.719	5	3	94.83	-1.3711
G4	C(C(C(CC=O)O)C(C)O)(O)=O	LYOZQSQTEXUSOK	-18.2732	C7H12O5	176.068475	-1.4458	-0.609	5	3	94.83	-2.4066
G4	C(CC(CC(C(CO)=O)O)O)=O	SOGAVCGXUDYGJE	45.6126	C7H12O5	176.068475	-1.9131	-0.389	5	3	94.83	-0.21046
