Generation	Canonical Code
G3	22b53bf43aaf37d5
G3	22d8dd5499231f36
G3	22fbcd4d65529739
G3	232484fb84b42693
G3	23679a526690e61f
G3	23ab8ef73b255f39
G3	23cd138ead28ae26
G3	23deb907d27aa64b
G3	23e7887955cc51ea
G3	23fe926c88c9abff
G3	24147bfdbb389b3
G3	2421ec83f349b619
G3	243d3ce5c6897596
G3	2490ce10315ee4ce
G3	24d13e6d67e7c619
G3	251bddc2766bac21
G3	2537b32d1f560fd7
G3	2562ca66f6c989c5
G3	2579a65840f09a41
G3	258dbb6ae373e918
G3	25daa91ee7c2aecb
G3	261079f4b018cd51
G3	26208a17bc1cbeb1
G3	262a9775b9fe0d1a
G3	264638e24083a6d3
G3	2677459320905e82
G3	268a0f1eff208d21
G3	2690554a95863152
G3	269829f906d9c32d
G3	26a8836e62d65009
G3	26c01506a20c5670
G3	26c1a7d78fc858c2
G3	26f51bd99f79bd44
G3	26f7957886d15096
G3	2700106d7e4a253a
G3	270754d31a8eeef1
G3	270d6254f29846be
G3	273a99ddbac76b94
G3	274e30714abe3ea4
G3	277800725f345d75
G3	280c59fdfedd6588
G3	283c78a4adeacd6e
G3	288498fbabb8c504
G3	28a5aed0e3630f52
G3	28aa208c1f74af2a
G3	28b0c6b8c7794988
G3	28dba7903d65f6d
G3	28f0cb7b0f89a74e
G3	295be01e7c4d0cf
G3	2982839dadae4baa
G3	29b62db3367f2d6d
G3	29c3496ca4261e7e
G3	29c35dbf0691c4cc
G3	2a0b7604cf90620c
G3	2a2796fc3aa63e29
G3	2a419584957da3b6
G3	2a7e1f7579f96c16
G3	2a821e5d889c9af3
G3	2a878af3b8d07055
G3	2a88a8409b88b01a
G3	2a8f5cf17c5bcb78
G3	2a97d11fa9187214
G3	2aabe415ad455fa1
G3	2af29b2289707d83
G3	2b11e7a58b6f8331
G3	2b1a84fea37390b9
G3	2b92e8ab3ac0510c
G3	2bcea437b2648fa5
G3	2beb85c7800bcc1e
G3	2c0ef567b8e1a5b4
G3	2c3788b289806972
G3	2c441f2f304e5bc0
G3	2c6ec1bf6255369f
G3	2c789196d8151f93
G3	2c8f09ee387f2065
G3	2ca9158d8d33ef15
G3	2ce63e5159cee786
G3	2cfdbdc729d8714b
G3	2d058d092890b88f
G3	2d190c50d495728a
G3	2d1dc2fda3bf7e45
G3	2d32f7b10fb9c43a
G3	2d90fb7deaac6c74
G3	2db937f5ca02df0a
G3	2dcb8ed50c3649d
G3	2e10a68492a6d27
G3	2e32dad24f2668f6
G3	2ec1c412432e45db
G3	2f3b754cac661425
G3	2f5de1794142a2bd
G3	2f654aca300a0cc8
G3	2fc1efed870cce21
G3	2fc396f7f473274
G3	2ffd8e12888573d2
G3	3060d59d7be1c58
G3	308abe6fce807aa4
G3	30ae8fd0fdf49292
G3	30f114e91fc8791f
G3	30f75b9ff8fa86e3
G3	3167f65bb2d46003
G3	316cba1a29f55971
G3	318238796e8f805c
G3	31973becb4b8247b
G3	31a06114d3240b18
G3	31aa7c53823fa268
G3	31d641e7b7f92625
G3	327a32e86f778e96
G3	329f2c09599df6ab
G3	32a122dc0727d02e
G3	32b8e16792544910
G3	32bfdb139a662a8a
G3	32fb3c042e3b0807
G3	32fc477fc836fd31
G3	32fd00a0e8cd1940
G3	336561b60c103547
G3	339950d16784f97d
G3	33a55e5c808b15db
G3	33b69cc21a09e71f
G3	33e3d60bd8ae311a
G3	33e726d7fd9964c4
G3	347557f7e3db8e4d
G3	34b2145391d0e432
G3	34b35d028965e0a7
G3	353ad5d864789d8e
G3	353e99b535619486
G3	3541df4ac738f5e3
G3	3557c3b21757b3a8
G3	358f92e6cc35940c
G3	3597d6133ae29316
G3	35bc19f20b6c7628
G3	35c45968872f894e
G3	35e3f563dd751a39
G3	35e5af54345d609
G3	36055336816a3038
G3	36410f46cfb729d2
G3	36a0ba980041a982
G3	36defcabdb147f68
G3	372a173b08e19f90
