Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	PDWIQYODPROSQH	C(C1C(CC(O)O1)O)O	134.0579088	C5H10O4	5	10	4.0	-1.2586	-0.277	4	3	69.92	-1.34
G4	WVFLQJAIFBHEMM	C(C1C(C(C(O)O1)N)O)O	149.068807832	C5H11NO4	5	11	4.0	-2.5085	0.046	5	4	95.94	-0.084122
G4	XWBDTJFTKCWEKS	C1(C(O)OC(CO)(CN)C1)=O	161.068807832	C6H11NO4	6	11	4.0	-2.1414	-0.006	5	3	92.78	-3.781
G4	WRVCSFXBOVGPSE	C1C(CN)(CC(O)O1)O	133.073893212	C5H11NO3	5	11	3.0	-1.6831	-0.084	4	3	75.71	0.34722
G4	OKLAKKQQBOAUCA	C1(C(O)OC(C)(C(CO)O)C1)=O	176.068473484	C7H12O5	7	12	5.0	-1.3843	-0.308	5	3	86.99	0.61076
G4	WWQIJZRUBJWUDD	C(C1(CC(C)(C(CO)O1)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8353	-0.341	5	3	86.99	-2.8983
G4	HESDFIQLYVLURP	C1(C(O)OC(CO)(CCO)C1)=O	176.068473484	C7H12O5	7	12	5.0	-1.2892	-0.2	5	3	86.99	-6.0135
G4	YVFJZUQNJNSYEI	C(C1(CC(CO1)(CCO)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.7056	-0.233	5	3	86.99	-4.8342
G4	NXSFEGYQOBOWPL	C(CO)(C1COC(C)(C1O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.6483	-0.228	5	3	86.99	2.3164
G4	NMNUETMBXGSITE	C(CO)(C1COC(C1(C)O)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.6146	-0.09	5	3	86.99	2.4309
G4	JGQCBCPTZPVAPF	C(CO)(C1C(O)OCC1(C)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.6146	-0.09	5	3	86.99	2.3124
G4	VIMMFGHDCPTWKH	C(C1C(CO)(O)OCC1(C)O)=O	176.068473484	C7H12O5	7	12	5.0	-1.8907	-0.123	5	3	86.99	-1.4886
