Generation	Inchi	Smiles
G3	KBVUTNHBGBKSDZ	C(C(C(CO)(C)O)O)(CCO)=O
G3	OSJPDGKAMMTTGQ	C(CO)(C(CO)C(CO)(C)O)=O
G3	PLGOEWNSOOGISL	C(CO)(CC(CO)(CCO)O)=O
G3	YFVHWIATBOLLAX	C(C)(C(C(CO)(CCO)O)O)=O
G3	DKJDDXJJYXHLFR	C(C(C(C)O)O)(CCO)=O
G3	UCBNXCDBZHMDGF	C(CO)(C(CO)C(C)O)=O
G3	JCOSEBVXWDUOFU	C(CC(CO)(CCO)O)=O
G3	PYOXBEQQVCJAJJ	C(C(C(CN)O)O)(CCO)=O
G3	LTEAIUVIGMVYOD	C(CO)(C(CO)C(CN)O)=O
G3	DNSFELWSFUFGJN	C(C(C(CO)(CCO)O)N)=O
G3	HDSWTILTIGAHJT	C(C(C(C=O)O)O)(CC(C)O)=O
G3	BPNLIVPLQNLIGW	C(CC(C(C(C(C)=O)O)O)O)=O
G3	ZHKXGIAQAXTAMP	C(CC(C)(C(C(C=O)O)O)O)=O
G3	MZSCOGUTKINKMW	C(C(C(C(C=O)O)O)N)=O
G3	GRCKFGQFRRODIE	C(CO)(CC(CO)(C)O)=O
G3	CBUKMSAKZIPOGL	C(C)(C(C(CO)(C)O)O)=O
G3	YXINUGWAIZLHJK	C(C(CC(CC(CO)=O)O)O)=O
G3	QXPRRNBQNVREIJ	C(C(CC(C(C(C)=O)O)O)O)=O
G3	UFDQVKKZIJVGJA	C(C(C(CO)(C)O)C(C=O)O)=O
G3	KPNBAUVGDQYIAI	C(CO)(CC(CN)O)=O
G3	PYGHGNLPRNLEKD	C(C)(C(C(CN)O)O)=O
G3	VGUKCKIIKZXRND	C(C(C(C)(CO)O)N)=O
G3	RWMSZEVIXBQAJL	C(C(C(CN)O)C(C=O)O)=O
G3	YBOLBHFYGABWMJ	C(CC(C(C(C=O)N)O)O)=O
G3	AHGCTZMUBPZLOK	C(C(C(CC(C=O)O)O)N)=O
G3	IDBTYBMNHBMAOU	C(CC(CO)(C(CO)O)O)=O
G3	IWASYLACXSGJPG	C(C(C(C)O)O)(C(CO)O)=O
G3	LBTUWKWHCNBHBP	C(CC(CN)(C(CO)O)O)=O
G3	VHAPTBUJKSFOAY	C(C(CO)O)(C(C(C)O)N)=O
G3	MYNDUSHUEWHKOA	C(CC(C(C(CO)N)O)O)=O
G3	AVGPOAXYRRIZMM	C(C(C(CO)(CO)O)O)=O
G3	ZAQJHHRNXZUBTE	C(CO)(C(C(CO)O)O)=O
G3	PYMYPHUHKUWMLA	C(C(C(C(CO)O)O)O)=O
G3	CMOZXEKFRDIDCA	C(C(C(CO)(CN)O)O)=O
G3	HPQGIDPCWDOJIW	C(CO)(C(C(CO)O)N)=O
G3	ZGPHAZHLWWSPMV	C(CN)(C(C(CO)O)O)=O
G3	IEHDXMKHICIRFU	C(CC(CO)(C(C=O)O)O)=O
G3	SSUDYWNAIOLNKR	C(C(C(CO)=O)C(CO)O)=O
G3	LTIXNERYDWMFRC	C(C(C(C)(C(C=O)O)O)O)=O
G3	VTPHIABIXGEURA	C(C(C(C)(C(CO)O)O)O)=O
G3	FAGPJBHKKUOQAR	C(C(CCO)(C(C=O)O)O)=O
G3	JOEMRRCMXVASPX	C(C(C(CO)C(CO)O)=O)=O
G3	PDHFWRCDNWXIRJ	C(C(C(CO)(CCO)O)O)=O
G3	GNQPJPMTQHCZDA	C(CO)(C(CO)C(CO)O)=O
G3	CGIVHSMOEAEFQI	C(C(C(C(C=O)O)O)O)=O
G3	HTPZSALIZDTBIL	C(C(C(CO)(C)O)O)=O
G3	KKLZOXZZESQNKR	C(CO)(CC(CO)O)=O
G3	IGUZJYCAXLYZEE	C(C)(C(C(CO)O)O)=O
G3	HIPAGLNATSXMFT	C(C(C(CO)O)C(C=O)O)=O
G3	JIDVIMQFVJVPPX	C(C(C(CN)O)O)=O
G3	UQNPMNUVBRVOCQ	C(C(C(CO)O)N)=O
