Generation	Inchi	Smiles	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G3	MKIUQSMSVAUTKI	C(C(CO)(C(C=O)O)N)=O	84.2675	C5H9NO4	147.053159	-3.3795	0.18	5	3	100.62	-3.815
G3	JFFLKTNXBRMQMK	C(C(CO)(C(CC=O)O)N)=O	78.6777	C6H11NO4	161.068809	-2.9251	-0.09	5	3	100.62	-3.1432
G3	ROKUUIAOJQBBFO	C(C(CO)(C(C=O)(C)O)N)=O	103.722	C6H11NO4	161.068809	-2.9989	0.071	5	3	100.62	-5.986
G3	FZBDPFQWGZJRMP	C(C(CO)(C(C(C)=O)O)N)=O	95.4804	C6H11NO4	161.068809	-2.8391	-0.034	5	3	100.62	-2.6494
G3	RJAZOPJVTUZQDS	C(C(CO)(C(C)O)N)=O	82.9422	C5H11NO3	133.073894	-2.2405	-0.112	4	3	83.55	-7.1831
G3	GYLKHSLNLFGTIU	C(C(C(C)O)(C(CN)O)O)=O	102.575	C6H13NO4	163.084459	-2.8079	0.017	5	4	103.78	-2.6087
G3	WIBFUWRQHYISRX	C(C(C(CO)O)(C(C)O)N)=O	102.351	C6H13NO4	163.084459	-2.8079	0.017	5	4	103.78	-5.1212
G3	SMFSTUZLWLOMDS	C(C(CN)(C(C=O)O)O)=O	77.7414	C5H9NO4	147.053159	-3.3795	0.18	5	3	100.62	-2.4379
G3	CLUAZGGJJOMMPW	C(CO)(C(CO)(C(C)O)O)=O	88.276	C6H12O5	164.068475	-2.229	0.257	5	4	97.99	1.4137
G3	LXEQBUDYXACQMF	C(CN)(C(CO)(C(C)O)O)=O	103.249	C6H13NO4	163.084459	-2.6268	0.181	5	4	103.78	0.42398
G3	WKRKESUWTIYINN	C(C(CO)(C(C)O)O)(O)=O	58.2522	C5H10O5	150.052825	-1.98	0.197	5	4	97.99	0.77366
G3	UINMWDACZNCASH	C(C(C(CC=O)O)(CN)O)=O	76.3596	C6H11NO4	161.068809	-2.9251	-0.09	5	3	100.62	-1.8295
G3	BXCPYHCFLPQIJB	C(C(C)(C(C=O)(CN)O)O)=O	96.1886	C6H11NO4	161.068809	-2.9989	0.071	5	3	100.62	-2.1482
G3	OSQHEPALADDTRX	C(C(CN)(C(C(C)=O)O)O)=O	82.8095	C6H11NO4	161.068809	-2.8391	-0.034	5	3	100.62	-1.2464
G3	ZQMCPLWIIABZAO	C(C(CN)(C(C)O)O)=O	81.307	C5H11NO3	133.073894	-2.2405	-0.112	4	3	83.55	-2.9701
G3	ZVWOARHSYMVKBY	C(C(C(C)O)(C(CO)N)O)=O	95.2557	C6H13NO4	163.084459	-2.8079	0.017	5	4	103.78	-6.1632
G3	YAVWISVERGTOHY	C(C(CO)(C(C=O)O)O)=O	71.6735	C5H8O5	148.037175	-2.9817	0.256	5	3	94.83	-2.7559
G3	KMZKNPYVLFCBJR	C(C(CO)(C(CC=O)O)O)=O	56.5187	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-2.1049
G3	LLKJMSOIEJAFOF	C(C(CO)(C(C=O)(C)O)O)=O	82.2598	C6H10O5	162.052825	-2.6011	0.147	5	3	94.83	-2.4059
G3	KSPZMTWVXVIPRP	C(C(CO)(C(C(C)=O)O)O)=O	70.8955	C6H10O5	162.052825	-2.4413	0.042	5	3	94.83	-1.4805
G3	JQKDKERJPQSZLX	C(C(CO)(C(C)O)O)=O	71.7534	C5H10O4	134.05791	-1.8427	-0.036	4	3	77.76	-3.2406
G3	DXBKAMXGCDVWGR	C(C(C(CO)O)(C(C)O)O)=O	90.5166	C6H12O5	164.068475	-2.4101	0.093	5	4	97.99	-2.8644
G3	BAZNXRDYVGWQMJ	C(C(C(C)=O)(C(CN)O)O)=O	68.7163	C6H11NO4	161.068809	-2.8391	-0.034	5	3	100.62	-1.115
G3	YFWJYQZZYOHJPS	C(C(CO)(CO)N)=O	505.201	C4H9NO3	119.058244	-2.5998	0.266	4	3	83.55	-6.6046
G3	XPSKCZZNEAMINR	C(C(CO)(C(CO)O)N)=O	89.4702	C5H11NO4	149.068809	-3.1672	0.395	5	4	103.78	-3.8255
G3	KNWXMEXZFWGIPP	C(CO)(C(CO)(CO)O)=O	86.0623	C5H10O5	150.052825	-2.5883	0.635	5	4	97.99	0.20087
G3	SOHAKCGLYBHNOI	C(CN)(C(CO)(CO)O)=O	102.139	C5H11NO4	149.068809	-2.9861	0.559	5	4	103.78	-0.92885
G3	WVYAXGDPEPHEBB	C(C(CO)(CN)O)=O	65.9451	C4H9NO3	119.058244	-2.5998	0.266	4	3	83.55	-3.2116
G3	JEWROQQYJFAKMC	C(C(CO)(C(CO)N)O)=O	95.5662	C5H11NO4	149.068809	-3.1672	0.395	5	4	103.78	-6.0283
G3	UZMKAOBHDMJGHD	C(C(C(C)=O)(C(CO)O)O)=O	65.6341	C6H10O5	162.052825	-2.4413	0.042	5	3	94.83	-1.3297
G3	UQZFQSGVTNRUAU	C(C(CN)(C(CO)O)O)=O	93.8127	C5H11NO4	149.068809	-3.1672	0.395	5	4	103.78	-2.5821
G3	LRHFAIBMHJARNQ	C(C(C(C=O)O)N)(O)=O	58.9559	C4H7NO4	133.037509	-4.6975	0.015	5	3	100.62	-7.7695
G3	YJLHBEWFAGVZAU	C(CC(C(C(O)=O)N)O)=O	36.8456	C5H9NO4	147.053159	-4.2431	-0.255	5	3	100.62	-7.0749
G3	FDEKIUJDQKDLRO	C(C(C)(C(C(O)=O)N)O)=O	32.9634	C5H9NO4	147.053159	-4.3169	-0.094	5	3	100.62	-14.054
G3	QJYMWMDDBANNAM	C(C(C(C(C)=O)O)N)(O)=O	59.2365	C5H9NO4	147.053159	-4.1571	-0.199	5	3	100.62	-4.7995
G3	AYFVYJQAPQTCCC	C(C(C(C)O)N)(O)=O	37.563	C4H9NO3	119.058244	-3.5585	-0.277	4	3	83.55	-12.838
G3	WZQHBGBYQBOKIK	C(C(C(CN)O)(CC=O)O)=O	66.2172	C6H11NO4	161.068809	-2.9251	-0.09	5	3	100.62	-3.0502
G3	JYPFTOPPKDHQEW	C(C(C(C=O)O)O)(O)=O	43.989	C4H6O5	134.021525	-2.5729	0.091	5	3	94.83	-1.2721
G3	WNQQMTOQQGYXCH	C(CC(C(C(O)=O)O)O)=O	29.6651	C5H8O5	148.037175	-2.1185	-0.179	5	3	94.83	-0.6535
G3	AZFXWNDHXWNFRE	C(C(C)(C(C(O)=O)O)O)=O	20.6205	C5H8O5	148.037175	-2.1923	-0.018	5	3	94.83	-0.56246
G3	HDGNQJMIIPXNJZ	C(C(C(C(C)=O)O)O)(O)=O	39.1028	C5H8O5	148.037175	-2.0325	-0.123	5	3	94.83	1.8724
G3	LOUGYXZSURQALL	C(C(C(C)O)O)(O)=O	33.8389	C4H8O4	120.04226	-1.4339	-0.201	4	3	77.76	0.18323
G3	TXIVWMLJMZFCNJ	C(C(C(CO)O)(CC=O)O)=O	57.2663	C6H10O5	162.052825	-2.5273	-0.014	5	3	94.83	-3.3059
G3	NFNWRWYCUZAEON	C(CC(C=O)N)(C(CO)O)=O	79.0913	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-2.8044
G3	AEIDOSPMECBBFD	C(C(C(CC(CO)O)=O)N)=O	65.1356	C6H11NO4	161.068809	-2.7653	-0.195	5	3	100.62	-7.6432
G3	LVYQXQPAYHNLQF	C(CC(C=O)O)(C(CO)O)=O	50.1139	C6H10O5	162.052825	-2.3675	-0.119	5	3	94.83	-1.9676
G3	RHBBDYUCVCIMPI	C(C(CO)(CC(CO)=O)O)=O	515.938	C6H10O5	162.052825	-2.3462	0.15	5	3	94.83	-5.3266
