Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G6	C1(C(C(C(C(C1)O)(C)O)O)=O)=O	ZMSZEDDGWSBLAD	174.05282342	C7H10O5	7	10	5	-1.6231	-0.366	5	3	94.83	-1.9903
G6	C(CO)(C1(CC(C(C1)=O)O)O)=O	HKBJHDBSCWHNMM	174.05282342	C7H10O5	7	10	5	-1.9299	-0.258	5	3	94.83	2.512
G6	C1(C(C(C(C(C)(C1)O)O)O)=O)=O	NHYFGEBLTIYNCN	174.05282342	C7H10O5	7	10	5	-1.6231	-0.366	5	3	94.83	-2.1089
G6	C(C)(C1(C(C(C(C1)=O)O)O)O)=O	LCOMCVZEBBHDKK	174.05282342	C7H10O5	7	10	5	-1.8553	-0.366	5	3	94.83	2.3574
G6	C(C1C(CC(C)(C1O)O)=O)(O)=O	WIDACOPHRWQNCM	174.05282342	C7H10O5	7	10	5	-1.4116	-0.478	5	3	94.83	1.9819
G6	C(C1C(C)(CC(C1O)=O)O)(O)=O	ALEOQCBVMOZTKF	174.05282342	C7H10O5	7	10	5	-1.4116	-0.478	5	3	94.83	2.5467
G6	C(C1C(CC(C1(C)O)O)=O)(O)=O	TYIHIVHAINEKBB	174.05282342	C7H10O5	7	10	5	-1.4116	-0.478	5	3	94.83	2.505
G6	C(CC1(CC(C(C1)=O)O)O)(O)=O	UWQNSWQNIHGOTI	174.05282342	C7H10O5	7	10	5	-1.2265	-0.588	5	3	94.83	2.4155
G6	C1(CC(C)(C(C1CO)O)O)=O	USHYZTKQIVNZDG	160.073558864	C7H12O4	7	12	4	-1.062	-0.496	4	3	77.76	2.9207
G6	C1(C(C(CO)C(C)(C1)O)O)=O	HUUKRXCJFWUOQF	160.073558864	C7H12O4	7	12	4	-1.062	-0.496	4	3	77.76	2.1702
G6	C1(CC(C(C)(C1CO)O)O)=O	FPCCYRLXYVCRNK	160.073558864	C7H12O4	7	12	4	-1.062	-0.496	4	3	77.76	3.3868
G6	C1(C(CC(CCO)(C1)O)O)=O	WGIFNSVYWHOJSX	160.073558864	C7H12O4	7	12	4	-0.8769	-0.606	4	3	77.76	-0.24824
G6	C1(C(C(C(C1)O)(C)O)O)=O	WITWJPRCSAPDOB	146.0579088	C6H10O4	6	10	4	-1.2567	-0.444	4	3	77.76	3.5169
G6	C1(C(CC(CO)(C1)O)O)=O	RFTWLCJSZAMEGX	146.0579088	C6H10O4	6	10	4	-1.3313	-0.336	4	3	77.76	-1.5767
G6	C1(C(C(C(C)(C1)O)O)O)=O	GXCKVNPQYMMLSY	146.0579088	C6H10O4	6	10	4	-1.2567	-0.444	4	3	77.76	3.3031
