Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(C(CO)(CC(CO)=O)O)=O	RHBBDYUCVCIMPI	[]	[]
G3	C(C(C(C)O)(CC(CO)=O)O)=O	AQVXRWRSDDQOEK	[]	[]
G3	C(C(C=CC(CO)=O)(CO)O)=O	RRADNGBQFCKXCM	[]	[]
G3	C(C(C(CO)(C)O)(CC=O)O)=O	VECIWFWVMKZNGW	[-333.06999999999994]	[['2023_0', '70_0', '159_0', '21_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C(CO)(C)O)O)(O)=O	UAIZUGKXCFPNDO	[]	[]
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	[]	[]
G3	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	[-333.06999999999994]	[['2049_0', '71_0', '159_0', '23_0', '39_0', '71_0', '71_0', '23_0', '23_0']]
G3	C(C(C)=O)(C(C(CO)O)O)=O	JPNOFZPGVHGIAU	[-47.4]	[['2100_0', '83_0', '6_0']]
G3	C(C1C(C(C(CO)O1)O)O)=O	LKAPTZKZHMOIRE	[]	[]
G3	C1(C(CO)OC(CO)C1O)=O	KTLCKBKJSIVXON	[]	[]
G3	C1(C(CO)(O)OC(CO)C1)=O	QYQCBFODTYUOSC	[]	[]
G3	C1(C(CO)OC(CO)(C1)O)=O	LIYCBIFUBQINMK	[]	[]
G3	C(C1C(C(C(CO1)O)O)O)=O	XRZIPPNVYYPJBM	[-59.17]	[['2316_0', '297_0', '6_0']]
G3	C1(C(CO)OCC(C1O)O)=O	VWKFMAHZLVYIFW	[-59.17]	[['2318_0', '297_0', '6_0']]
G3	C1(C(CO)(O)OCC(C1)O)=O	NGIIKESDRNWDEO	[]	[]
G3	C1(C(COC(CO)(C1)O)O)=O	FCYSCENWZKWMAC	[]	[]
G3	C1(C(C(CO)(O)OCC1)O)=O	NWOQDCMXLIYZAJ	[]	[]
G3	C1(COC(CO)(C(C1)O)O)=O	NSKSJXGXKDNHAA	[]	[]
G3	C1C(C(C(C=1CO)=O)O)O	CBWBGYDXIWXIHP	[]	[]
G3	C=C1C(C(C(C1O)O)O)=O	JGHJHABNRFRNGH	[-137.29999999999998]	[['2366_0', '33_0', '19_0']]
G3	C1C(C(C(C=1C=O)O)O)O	KGLYOIKUJWTFEE	[]	[]
G3	C(C(C(CO)O)O)=CC(O)=O	JCOCWZYTGFRYRY	[]	[]
G3	C(C(C(C(C=C)O)O)O)=O	WQQZDGCRNHAIIP	[-75.12]	[['2397_0', '126_0', '25_0']]
G3	C(C1(C=CC(C1O)O)O)=O	QLOMKXZUWLQDPB	[]	[]
G3	C12C(C(C(CC1O)(O)O2)O)O	ROHQSBZWNCEWCP	[]	[]
G3	C1(C2C(C(C(C2O)O1)O)O)O	ZNAUFJHITFLCAF	[]	[]
G3	C(C1(C(CC(CO)O1)O)O)=O	LWRLONYMTNKGJW	[]	[]
G3	C1(COC(C(CO)O)(C1)O)=O	SRYDSSXHWQEQKB	[-62.22]	[['2584_0', '91_0', '17_0']]
G3	C(C1CC(C(CO)(O1)O)O)=O	QHHHDODRSCICNF	[]	[]
G3	C(CO)(C1CC(C(O1)O)O)=O	HFNUOKJDJCGUJM	[]	[]
G3	C1(COC(CCO)(C1O)O)=O	YFLFQGBASSFMRD	[-240.22]	[['2591_0', '95_0', '19_0']]
