SMILES tag	Canonical Code
C1[C@H]([C@H]([C@H](O[C@H]1[C@@H](C)O)O[H])O)O	100977792f608010
C1[C@H]([C@H]([C@H](O[C@H]1[C@@H](C)O[H])O)O)O	100977792f608010
C(=O)([C@@H](C[C@H]([C@H](C)O)O)CO)N([H])[H]	1009778349310a34
C=C[C@@](C(=O)O)(CO)[C@H](CN([H])[H])O	10099a2733f42dfb
C(=C(\CO)/O[H])\[C@H](C(=O)CO)CO	1009b96345b1b3c1
C[C@H]([C@@H]([C@@](C)(COC)O)O)O[H]	1009b9a451848aa2
C[C@H]([C@@H]([C@@](C)(COC)O)O[H])O	1009b9a451848aa2
C[C@H]([C@@H]([C@@](C)(COC)O[H])O)O	1009b9a451848aa2
C1[C@@H]2C[C@@]([C@@H]([C@@H]2O)O[H])([C@H]1O)O	1009bd43fd5847df
C1[C@@H]2C[C@]([C@H]1O)([C@@H]([C@@H]2O)O)O[H]	1009bd43fd5847df
C1[C@@H]2C[C@]([C@H]1O)([C@@H]([C@@H]2O[H])O)O	1009bd43fd5847df
C1[C@@H]2C[C@]([C@H]1O[H])([C@@H]([C@@H]2O)O)O	1009bd43fd5847df
C(=C\O[H])\[C@H](C=O)C[C@H](CO)O	1009d4133ba4511b
C(=O)[C@@H](C(=O)O)[C@H]([C@@H](C)O)N([H])[H]	1009d5c6f8785ca2
C(=O)C[C@H]([C@@](C)(CCO)N([H])[H])O	1009db6a5213eaec
C\1(=C\CO)/[C@@H](C[C@H]([C@H]1O)N([H])[H])O	1009dd13c8d5a787
C1COC[C@]2([C@@H]([C@@]1(CO2)O)O)N([H])[H]	1009f5b0d60689f6
C[C@@]([C@@H](CO)N([H])[H])([C@H](CO)O)O	1009f8be372b65f9
C1=C(C(=O)[C@@H]([C@H]([C@H]1O)N([H])[H])O)C	1009fa3e19c886fe
C(=C(\C(=O)O)/C)/[C@H](CO)O[H]	100a0b0a0c84ab7
C(=C(\C(=O)O)/C)/[C@H](CO[H])O	100a0b0a0c84ab7
C(=C(\C(=O)O[H])/C)/[C@H](CO)O	100a0b0a0c84ab7
C(=C(\[C@@H](CO)O)/OC)/N([H])[H]	100a0c5213158b10
C1(=O)C[C@@H]([C@@H](C1)N([H])[H])[C@@H](C(=O)O)O	100a1c034318eb01
C(CO[C@H]([C@H](CO)O)O[H])O	100a2a589492177c
C1=C([C@@H](O[C@@]1(C)[C@@H](C=O)O)O)N([H])[H]	100a2b7f65ca23ee
C1=C([C@](C[C@H]1O)(CC)O)O[H]	100a3b5e81c12c0a
C1[C@H]2[C@@](CO1)([C@](CO2)(CO)O)O[H]	100a45eb3484a0ca
C1[C@H]2[C@@](CO1)([C@](CO2)(CO)O[H])O	100a45eb3484a0ca
C1[C@H]2[C@@](CO1)([C@](CO2)(CO[H])O)O	100a45eb3484a0ca
CO[C@H](CO)[C@H](COCCO)O[H]	100a4646759e59e4
CO[C@H](CO)[C@H](COCCO[H])O	100a4646759e59e4
CO[C@H](CO[H])[C@H](COCCO)O	100a4646759e59e4
C12=C([C@H]([C@H]([C@@H]2OCOC1)O)O)N([H])[H]	100a546f91083333
C1=C([C@@]2([C@@H]([C@H]1O[C@@H]2O)O)O)CO[H]	100a58fb948e2b12
C1=C([C@@]2([C@@H]([C@H]1O[C@@H]2O)O)O[H])CO	100a58fb948e2b12
C1=C([C@@]2([C@@H]([C@H]1O[C@@H]2O)O[H])O)CO	100a58fb948e2b12
C1=C([C@@]2([C@@H]([C@H]1O[C@@H]2O[H])O)O)CO	100a58fb948e2b12
C1[C@H](CO[C@H]([C@@H]1O)CO)CN([H])[H]	100a8bb38432d8ca
C1(=O)[C@H](C(=O)O)[C@@H]([C@H]([C@H]1O)C)O[H]	100aae1b9828b448
C1(=O)[C@H](C(=O)O)[C@@H]([C@H]([C@H]1O[H])C)O	100aae1b9828b448
C1(=O)[C@H](C(=O)O[H])[C@@H]([C@H]([C@H]1O)C)O	100aae1b9828b448
C1=C[C@H](CO)O[C@@H](C(=O)[C@H]1O)N([H])[H]	100ab00b03d4f191
C=C([C@@](C=O)([C@@H](CC)O)O)O[H]	100abef580135573
C(=O)([C@H]1[C@H]([C@H](CO[C@@H]1C)N([H])[H])O)O	100ac57c9c1899eb
C1(=O)[C@H]2[C@H]([C@@H]([C@H]1O)N([H])[H])[C@@H](CO2)O	100af27865ce009c
C(=O)[C@]1(C[C@H](CO[C@H](C1)O)N([H])[H])O	100b189a162e8474
C1[C@H]([C@H]([C@@H]2[C@@H](OC[C@]12N([H])[H])O)O)O	100b1e419623613b
C1(=O)[C@H]([C@@H](C[C@@H]1O)O)[C@H](CO)N([H])[H]	100b30c2f29fac07
C1(=O)[C@H]([C@H](/C(=C/C)/O[H])O[C@H]1O)O	100b355266032ecb
C1=C(CO[C@@H]([C@H](C1=O)N([H])[H])O)CO	100b4634fe9088e
C1[C@H]([C@@]([C@@H]([C@H](O1)O)CO)(C)O)N([H])[H]	100b4b1eba56c264
C1[C@H]([C@@H](O[C@@H]1CCO)N([H])[H])CO	100b50f504720a1
C1[C@@]([C@H]([C@H](O1)O)CO)(OC)O[H]	100b53d491d972d0
C1=C([C@@H]2[C@@H]([C@H]1[C@@H](C(=O)O)O2)O)O[H]	100b5fd74e54789d
C=C(C(=O)O)[C@@](CO)([C@H](C)N([H])[H])O	100b60aafa18b064
C1[C@H](CN([H])[H])O[C@](CCO)(CO)O1	100b7757dd57d0ec
