Generation	Inchi	Smiles	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G4	JTOFKSVWHOIVAJ	C(C1C(CO)OC(C1O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1283	-0.145	5	3	86.99	-3.0375
G4	DNFROWGDJNTHSQ	C(C1C(CC(CO)(O1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1333	-0.232	5	3	86.99	-6.0204
G4	WEKMDDQOENUWCC	C(C1C(CO)(CC(O1)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0996	-0.094	5	3	86.99	-5.8855
G4	UOAVHWJOXPHMBZ	C(CC1(COC(C1O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-1.8953	-0.094	5	3	86.99	-1.3649
G4	NPTRUIBZTVLGTH	C(C1C(CO)(O)OCC1O)=O	162.05282342	C6H10O5	6	10	5.0	-2.1887	-0.014	5	3	86.99	-2.4406
G4	OJFNRRYMUBSATR	C(CC1(C(C(CO1)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-1.929	-0.232	5	3	86.99	-4.8683
G4	DUPMVEXRXRIHES	C(C1C(C(C(C)(O1)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0587	-0.34	5	3	86.99	-3.0074
G4	GWTCQJOEFRMYTB	C(C1C(C)(C(C(O1)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.025	-0.202	5	3	86.99	-0.43322
G4	XSOCZPWENAPSDW	C(C(C1(CC(CO1)O)O)O)=O	162.05282342	C6H10O5	6	10	5.0	-2.0987	-0.232	5	3	86.99	-1.1589
G4	NKRSULMKNYDBPT	C1(C(C(C(CN)O1)O)O)O	149.068807832	C5H11NO4	5	11	4.0	-2.5085	0.046	5	4	95.94	-2.2337
G4	UEOOBZKAARMIMK	C1(C(O)OC(CO)C1O)=O	148.037173356	C5H8O5	5	8	5.0	-1.967	0.071	5	3	86.99	0.046362
