Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(C(C(C)(CC(CO)=O)O)O)=O	GWUZMTCEZFZAML	[-130.0]	[['857_0', '61_0', '77_0', '18_0', '24_0']]
G3	C(C)(C(C(C(C(C)=O)O)O)O)=O	RMFHJNQCSIVIEA	[-139.03]	[['859_0', '61_0', '77_0', '18_0', '24_0']]
G3	C(C(C(C)(C(C(C)=O)O)O)O)=O	MUNUQZQBUPPELK	[-134.39]	[['861_0', '61_0', '77_0', '18_0', '24_0']]
G3	C(C(C(CC(CN)O)=O)O)=O	ZMEILYOCLSHQDN	[-102.94]	[['869_0', '61_0', '120_0', '18_0', '5_0']]
G3	C(C(C(C(C(C)=O)O)O)N)=O	URYGCMBOMHUVKQ	[-16.07]	[['871_0', '61_0', '120_0', '18_0', '5_0']]
G3	C(C(C(C)(C(C=O)O)O)N)=O	RFTGWPCIEOLYOI	[-11.429999999999998]	[['873_0', '61_0', '120_0', '18_0', '5_0']]
G3	C(CO)(C(CO)C(C=O)O)=O	JWVOALOLIWYTMR	[-69.33]	[['883_0', '64_0', '71_0', '20_0', '22_0']]
G3	C(C(C(C=O)O)N)(C(CO)O)=O	AJMCRODHPLSBIB	[-18.07]	[['895_0', '64_0', '122_0', '20_0', '5_0']]
G3	C(C(CO)O)(CCO)=O	IZYOBKKJVPRWAF	[-71.66999999999999]	[['897_0', '64_0', '67_0', '20_0', '20_0']]
G3	C(C(CO)O)(CC(CO)(C)O)=O	KGMAGSYXWBEQJC	[-133.01]	[['901_0', '64_0', '77_0', '20_0', '24_0']]
G3	C(CO)(CC(C)(C(CO)O)O)=O	FGEPGGGVGFHWCN	[-133.01]	[['903_0', '64_0', '77_0', '20_0', '24_0']]
G3	C(C)(C(C(C)(C(CO)O)O)O)=O	MJEDKJVEWJDYHU	[-137.4]	[['905_0', '64_0', '77_0', '20_0', '24_0']]
G3	C(C(CO)O)(CC(C)O)=O	GFFKZVUFWOOERJ	[-74.06]	[['907_0', '64_0', '84_0', '20_0', '28_0']]
G3	C(CC(C)(C(CO)O)O)=O	BUQSEVBRGIGBOC	[-69.41999999999999]	[['909_0', '64_0', '84_0', '20_0', '28_0']]
G3	C(C(CO)O)(CC(CN)O)=O	RYMHXKSOFRDMFW	[-49.0]	[['911_0', '64_0', '120_0', '20_0', '5_0']]
G3	C(C(C(C)(C(CO)O)O)N)=O	PVZYWQDSXQSODU	[-14.439999999999996]	[['913_0', '64_0', '120_0', '20_0', '5_0']]
G3	C(CO)(C(C(C)O)C(C=O)O)=O	AOWGVLKQEATEAM	[-48.08999999999999]	[['917_0', '67_0', '84_0', '20_0', '28_0']]
