Generation	Smiles	Inchi	Energy Change	Reaction IDs
G3	C(CNC(C(CO)=O)CN)(O)=O	YOXDVGLCXFZYKL	[-72.45]	[['966_0', '49_0', '63_0', '7_0', '10_0']]
G3	C(CNCCO)(CN)=O	IXPGLJQOFOUUJH	[-93.25]	[['992_0', '57_0', '104_0', '10_0', '5_0']]
G3	C(CNCCO)(C(CO)N)=O	DITJJUUJVMSKPO	[-70.28999999999999]	[['994_0', '57_0', '106_0', '10_0', '7_0']]
G3	C(CNCC(CN)=O)(O)=O	FFFDQOZJOWKGJX	[-98.47999999999999]	[['1006_0', '63_0', '104_0', '10_0', '5_0']]
G3	C(CNCC(O)=O)(C(CO)N)=O	MWAVKYSZWLNOTO	[-75.52]	[['1008_0', '63_0', '106_0', '10_0', '7_0']]
G3	C(C(CNCC(CN)=O)O)=O	CSXVHWQAIQUYCR	[-94.84]	[['1018_0', '104_0', '104_0', '5_0', '5_0']]
G3	C(CN)(C(CN)O)=O	GCKJGOBNIHLMDF	[-55.07]	[['1026_0', '31_0', '10_0']]
G3	C(CO)(C(CNCC=O)N)=O	UIKULCRCTCWVMN	[-45.35]	[['1033_0', '45_0', '7_0', '10_0']]
G3	C(CO)(C(CN)N)=O	GUZLEIWFORGFKN	[-20.77]	[['1037_0', '49_0', '7_0']]
G3	C(CNC(C(CN)=O)CO)=O	GFWPPSOBTSFMCO	[-42.28]	[['1049_0', '102_0', '7_0', '10_0']]
G3	C(CN)(C(CO)N)=O	VIXZLXUEUNVHID	[-20.759999999999998]	[['1053_0', '106_0', '7_0']]
G3	C(CO)(CNCC(CO)=O)=O	BUFAGBTWFUCFMU	[-78.5]	[['1060_0', '5_0', '47_0', '5_0']]
G3	C(CO)(CNCCO)=O	WMAWUYGJPNBUQG	[-102.49]	[['1066_0', '5_0', '57_0', '10_0']]
G3	C(CNCC(CO)=O)(O)=O	WKMZZYMHPNDCQD	[-107.71]	[['1068_0', '5_0', '63_0', '10_0']]
G3	C(C(CNCC(CO)=O)O)=O	LMXRVJUGGJXBPL	[-107.13999999999999]	[['1070_0', '5_0', '104_0', '5_0']]
G3	C(CNCCO)(C(CO)O)=O	RFCCAHHFHGOKIP	[-86.26]	[['1076_0', '7_0', '57_0', '10_0']]
G3	C(CNCC(O)=O)(C(CO)O)=O	DITRGZRJMYHJGN	[-91.48]	[['1078_0', '7_0', '63_0', '10_0']]
G3	C(CNCC=O)(C(CN)O)=O	GTVWKZXSTSBFGC	[-49.01]	[['1083_0', '10_0', '31_0', '10_0']]
G3	C(CNC(C(CO)=O)CN)=O	QTDGYLRDGBGVQW	[-42.28]	[['1092_0', '10_0', '49_0', '7_0']]
G3	C(CNCC=O)(C(CO)N)=O	MAHYCVYRGZNDCE	[-42.28]	[['1105_0', '10_0', '106_0', '7_0']]
G3	C(C(C(CNCC=O)O)O)(O)=O	OOJJPSMERBMANE	[-89.47999999999999]	[['1124_0', '82_0', '10_0', '17_0']]
G3	C(C(C(C(CO)N)O)O)O	VMWHZZCFIPURJF	[-82.55]	[['1130_0', '19_0', '5_0', '10_0']]
G3	C(C(C(C(C(CO)N)O)O)O)O	FQORWEQXRQVPBZ	[-66.32000000000001]	[['1132_0', '21_0', '7_0', '10_0']]
G3	C(C(C(CN)O)N)O	XZXHZMMPPLVBHM	[-71.29]	[['1134_0', '23_0', '10_0', '10_0']]
G3	C(C(CO)N)O	KJJPLEZQSCZCKE	[-69.18]	[['1136_0', '25_0', '10_0']]
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA	[-70.94]	[['1138_0', '27_0', '5_0']]
G3	C(C(C(CN)O)O)O	WIFPJDJJFUSIFP	[-59.68]	[['1142_0', '31_0', '10_0']]
G3	C(C(C(CO)O)N)O	PMLGQXIKBPFHJZ	[-52.95]	[['1144_0', '33_0', '10_0']]
G3	C(C(CO)(C(CN)O)O)O	GRJYCUXQJJMRKX	[-86.63]	[['1152_0', '67_0', '5_0', '10_0']]
G3	C(C(C(CO)O)(C(CN)O)O)O	KQAJPNNQNURMRU	[-70.4]	[['1154_0', '69_0', '7_0', '10_0']]
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP	[-84.52]	[['1156_0', '71_0', '5_0']]
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR	[-68.28999999999999]	[['1158_0', '73_0', '7_0']]
G3	C(CNCC(CO)O)=O	RHMGIDQVAMTKJW	[-100.49]	[['1175_0', '100_0', '5_0', '10_0']]
G3	C(C(CNCCO)O)=O	IGQRCNKKLSTBMG	[-100.49]	[['1177_0', '100_0', '5_0', '10_0']]
