Generation	Inchi	Smiles
G3	BSZQLDXZWYISLD	C(C(C(CO)(C(CO)O)O)N)=O
G3	ZEUGDKYVUVLZTO	C(C(C(CN)O)O)(C(CO)O)=O
G3	ASMJPAWXLLYEGB	C(C(C(CN)(CO)O)N)=O
G3	VZZJVRSIHGEVPT	C(CN)(C(C(CN)O)O)=O
G3	UBYNXIGHTJSTMH	C(CO)(C(C(CN)O)N)=O
G3	LTJICWLEGLOXNN	C(C(C(CN)(C(CO)O)O)N)=O
G3	OHFDQMUPUZOXSD	C(C(CO)O)(C(C(CN)O)N)=O
G3	QJTNNTOOOXBQFZ	C(C(C(CNCC=O)O)N)=O
G3	YLEVJUSOCIAMDO	C(C(C(CN)O)NCC=O)=O
G3	IPEVWGCBOFEPDL	C(C(C(C(CO)(CO)O)O)N)=O
G3	ODILWJGXAOWKPR	C(C(CCO)(C(C=O)N)O)=O
G3	RBDNNFSBBBQPHT	C(C(C(C(CCO)=O)O)N)=O
G3	KAYFMIAIBMIIQD	C(C(C(CO)C(CN)O)=O)=O
G3	YBOLBHFYGABWMJ	C(CC(C(C(C=O)N)O)O)=O
G3	AHGCTZMUBPZLOK	C(C(C(CC(C=O)O)O)N)=O
G3	RWMSZEVIXBQAJL	C(C(C(CN)O)C(C=O)O)=O
G3	VNBYXOQOCGWZFJ	C(C(C(CC(CO)=O)O)N)=O
G3	WKIWQZKYQRMNFP	C(CC(CO)(C(C=O)N)O)=O
G3	DCWPTWSYZMWKIL	C(C(C(CO)=O)C(CN)O)=O
G3	VMCCARNNUOIRPT	C(CC(C(C(CN)O)O)=O)=O
G3	URYGCMBOMHUVKQ	C(C(C(C(C(C)=O)O)O)N)=O
G3	RFTGWPCIEOLYOI	C(C(C(C)(C(C=O)O)O)N)=O
G3	ZMEILYOCLSHQDN	C(C(C(CC(CN)O)=O)O)=O
G3	BZWJDVIAXBESMP	C(C(C(C(CN)O)O)N)=O
G3	YNGPNKGOVIJJPV	C(C(C(C(C(CO)N)O)O)N)=O
G3	BLFFPJTYWVTAHQ	C(CNC(C(CO)=O)CO)=O
G3	RECPPMRZTCHEQB	C(C(CO)NCC(CO)=O)=O
G3	MTPLMYSUTMBRKU	C(CO)(C(CO)N)=O
G3	YHKGTFSEJPIKDQ	C(C(CO)O)(C(CO)N)=O
G3	DKKPLPKHWBBOFN	C(C(CO)NCC(C=O)O)=O
G3	GMTVWYIYSJHFTN	C(C(C(C(C(CN)O)N)O)O)=O
G3	YECZZWUIAXEARY	C(C(C(C(CO)N)O)O)=O
G3	HDXVFGYNQCBFKD	C(C(C(C(C(CN)O)O)O)O)=O
G3	RQRVMSIARGXSFL	C(C(C(C(C(CO)O)N)O)O)=O
G3	CMOZXEKFRDIDCA	C(C(C(CO)(CN)O)O)=O
G3	ZGPHAZHLWWSPMV	C(CN)(C(C(CO)O)O)=O
G3	HPQGIDPCWDOJIW	C(CO)(C(C(CO)O)N)=O
G3	NVKBOABANWTAIG	C(C(C(CN)(C(CO)O)O)O)=O
G3	GPXGXDDVGOODPV	C(C(CO)O)(C(C(CO)O)N)=O
G3	YJHMQYUDHZBFML	C(C(C(CNCC=O)O)O)=O
G3	TUTZJMYSGHJPQJ	C(C(C(CO)O)NCC=O)=O
G3	IKHXAQXDRKSBCU	C(C(C(C(CN)O)O)O)=O
G3	KLXQAXYSOJNJRI	C(C(C(C(C(CO)N)O)O)O)=O
G3	HVTGQMWTDDUILK	C(CO)(C(CN)O)=O
G3	OOPUUCYNBACYQM	C(CNCC(C(CO)=O)O)=O
G3	LZTRLXXHJRINGJ	C(C(CO)NC(C=O)CO)=O
G3	FTYYLXDHRJRTKI	C(C(CN)NC(C=O)CO)=O
G3	OFIXDAYHKFTXLH	C(C(CO)NCC(CN)=O)=O
G3	GUGUFYNTHTYQDA	C(CNCCO)(C(CN)O)=O
G3	IPCYFWLLQPSXFL	C(CNCC(O)=O)(C(CN)O)=O
G3	RJFHOFYTSBPZSK	C(C(CO)NCCO)=O
G3	OYKSMKWNONGCFI	C(C(CO)NCC(O)=O)=O
G3	YFTAWOLCSKSJJK	C(C(C(CO)O)NCCO)=O
G3	OWXPCTOCSZTUMZ	C(CO)(C(CO)NCCO)=O
G3	LJZWPLNPKGKISC	C(C(C(CO)O)NCC(O)=O)=O
G3	QCRUGSPVHVWGIE	C(CNC(C(CO)=O)CO)(O)=O
G3	FDOGJZRDUWNYFS	C(C(CN)NCC(CO)=O)=O
G3	GLICKJMOOWVWEL	C(C(CN)NCCO)=O
G3	WUZCOJVLLCEBKC	C(C(CN)NCC(O)=O)=O
G3	OATHWGIETBGFOU	C(CNCC(CN)=O)(CO)=O
G3	WEZDXDOOFLSVLU	C(C(CN)NCC(C=O)O)=O
G3	IZWKPUUGHAWRQG	C(CO)(C(CN)NCCO)=O
G3	YOXDVGLCXFZYKL	C(CNC(C(CO)=O)CN)(O)=O
G3	IXPGLJQOFOUUJH	C(CNCCO)(CN)=O
