Generation	Smiles	Inchi	Path
G3	C(C(C(C(CO)O)=O)CO)=O	VSCZDXPKQZQUMT	"C(C(C(C(CO)O)=O)CO)=O
└── C(C(CO)(C(C(CO)O)O)O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(C(CO)O)=O
        ├── C(CO)=O
        └── C=O
"
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL	"C(C(CC(CO)=O)O)(O)=O
└── C(C(C(C(CO)O)O)O)(O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)(O)=O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(C(C(CCO)=O)O)(O)=O	GEKHDLNOKHNDDY	"C(C(C(CCO)=O)O)(O)=O
└── C(C(C(C(CO)O)O)O)(O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)(O)=O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(CC(C(CO)O)=O)(O)=O	FNWZJGILAMUKQY	"C(CC(C(CO)O)=O)(O)=O
└── C(C(C(C(CO)O)O)O)(O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)(O)=O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(C(CC(CO)O)=O)(O)=O	UQIGQRSJIKIPKZ	"C(C(CC(CO)O)=O)(O)=O
└── C(C(C(C(CO)O)O)O)(O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)(O)=O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C(C1C(C(C(O)O1)O)O)O	HMFHBZSHGGEWLO	"C(C1C(C(C(O)O1)O)O)O
└── C(C(C(C(CO)O)O)O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)=O
"
G3	C1C(C(C(O)O1)(CO)O)O	BFZQQKBQRCDWST	"C1C(C(C(O)O1)(CO)O)O
└── C(C(CO)(C(CO)O)O)=O
    ├── C(C(C(CO)O)O)=O
    │   ├── C(CO)=O
    │   └── C(CO)=O
    └── C=O
"
G3	C1C(C(C(C(O)O1)O)O)O	SRBFZHDQGSBBOR	"C1C(C(C(C(O)O1)O)O)O
└── C(C(C(C(CO)O)O)O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)=O
"
G3	C1(C(C(C(CO)O1)O)O)=O	CUOKHACJLGPRHD	"C1(C(C(C(CO)O1)O)O)=O
└── C(C(C(C(CO)O)O)O)(O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)(O)=O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G3	C1(C(C(C(CO1)O)O)O)=O	XXBSUZSONOQQGK	"C1(C(C(C(CO1)O)O)O)=O
└── C(C(C(C(CO)O)O)O)(O)=O
    ├── C(C(CO)O)=O
    │   ├── C(CO)=O
    │   └── C=O
    └── C(CO)(O)=O
        ├── C(CO)=O
        ├── C=O
        └── O
"
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ	"C1(C(C(C(C1O)O)O)O)=O
└── C(C(C(C(CO)=O)O)O)=O
    ├── C(C=O)=O
    │   └── C(CO)(O)=O
    │       ├── C(CO)=O
    │       ├── C=O
    │       └── O
    └── C(CO)(CO)=O
        └── C(C(CO)O)=O
            ├── C(CO)=O
            └── C=O
"
G4	C(C1C(C(C(C1O)O)O)=O)=O	YWMHEJKIEFCJJV	"C(C1C(C(C(C1O)O)O)=O)=O
└── C(C(C(CO)=O)C(C=O)O)=O
    ├── C(C=O)=O
    │   └── C(CO)(O)=O
    │       ├── C(CO)=O
    │       ├── C=O
    │       └── O
    └── C(CC(CO)=O)=O
        └── C(C(C(CO)O)O)=O
            ├── C(CO)=O
            └── C(CO)=O
"
