Generation	Smiles	Inchi	Path
G2	C(C(C(C=O)O)N)(CCO)=O	QWEHPYRKIXUATR	"C(C(C(C=O)O)N)(CCO)=O
├── C(C(C(C=O)O)O)(CCO)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(C(C(C)=O)N)O)O)=O	IQUYTNXYQLFGFJ	"C(C(C(C(C(C)=O)N)O)O)=O
├── C(C(C(C(C(C)=O)O)O)O)=O
│   └── C(C(C(C(C(CO)O)O)O)O)=O
└── N
"
G2	C(C(C(CC(CO)=O)N)O)=O	CCNHXUOYTNIIJI	"C(C(C(CC(CO)=O)N)O)=O
└── C(C(C(C(C(CO)O)O)N)O)=O
    ├── C(C(C(C(C(CO)O)O)O)O)=O
    └── N
"
G2	C(C(C(C(C(C)=O)O)N)O)=O	MEFFHISDEHXYIV	"C(C(C(C(C(C)=O)O)N)O)=O
└── C(C(C(C(C(CO)O)O)N)O)=O
    ├── C(C(C(C(C(CO)O)O)O)O)=O
    └── N
"
G2	C(CC(C(C(C=O)O)N)O)=O	XEBRCGAKPBATGG	"C(CC(C(C(C=O)O)N)O)=O
└── C(C(C(C(C(CO)O)O)N)O)=O
    ├── C(C(C(C(C(CO)O)O)O)O)=O
    └── N
"
G2	C1(CC(C(C(CO)O)O1)O)=O	WIKTYYPIOVPRBF	"C1(CC(C(C(CO)O)O1)O)=O
└── C(C(C1C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(COC(C(CO)O)C1O)=O	QMKUJGYJIQIANY	"C1(COC(C(CO)O)C1O)=O
└── C(C(C1C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(O)OC(C(CO)O)C1)=O	CTMYXQCRPPOKCU	"C1(C(O)OC(C(CO)O)C1)=O
└── C(C(C1C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C1(C(C(CO)O)OC(C1)O)=O	GONGZWHRWCYDTA	"C1(C(C(CO)O)OC(C1)O)=O
└── C(C(C1C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
G2	C(C)(C1C(C(C(O1)O)O)O)=O	VTYZWSTWPSLGHX	"C(C)(C1C(C(C(O1)O)O)O)=O
└── C(C(C1C(C(C(O)O1)O)O)O)O
    └── C(C(C(C(C(CO)O)O)O)O)=O
"
