Generation	Smiles	Inchi	Energy	Molecular Formula	Monoisotopic Mass	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness
G5	C1(CC2(CC1(C(C2O)O)O)O)=O	ROMNCOWYSNSQRU	100.309	C7H10O5	174.052825	-2.104	-0.24	5	4	97.99	1.3723
G5	C(C1(C(CC(C1)O)=O)O)(O)=O	CPLHYPQTBKSLII	33.9313	C6H8O5	160.037175	-1.6809	-0.318	5	3	94.83	0.51201
G5	C1(C(C(C(C)(C1(C)O)O)O)O)=O	SMECCJRVJVHDCF	1891.93	C7H12O5	176.068475	-1.8108	-0.154	5	4	97.99	3.6385
G5	C1(C(C(CC(C1(C)O)O)O)O)=O	KMLDISGBNMCNPC	461.897	C7H12O5	176.068475	-1.7668	-0.315	5	4	97.99	2.8817
G5	C1(C2(C(CC(C1CO2)O)O)O)=O	MEFQDCJBQMGECF	74.6107	C7H10O5	174.052825	-1.6347	-0.422	5	3	86.99	1.3084
G5	C1(CC(C(C)(C1(C)O)O)O)=O	LLISDSBRSVBJLW	825.008	C7H12O4	160.07356	-0.9587	-0.553	4	3	77.76	4.3622
G5	C1(CC(C(C)(C(C1)O)O)O)=O	SNLGDBZBHBGDGF	403.119	C7H12O4	160.07356	-0.9147	-0.714	4	3	77.76	2.943
G5	C1(CC(CC1(C(CO)O)O)O)=O	SZXNRDUXTGTNAB	64.9636	C7H12O5	176.068475	-1.8987	-0.207	5	4	97.99	1.7946
G5	C1(C(C(C(C(C1)O)=O)(C)O)O)=O	ACVXLBZWRQKHMG	441.209	C7H10O5	174.052825	-1.6231	-0.366	5	3	94.83	3.6142
G5	C(C1(C(C)(C(C(C1)=O)O)O)O)=O	HZXSHBMXXUDURE	409.576	C7H10O5	174.052825	-2.0977	-0.261	5	3	94.83	0.105
G5	C1(C2(C(C(C)(C1CO2)O)O)O)=O	QTSVXSGXDIVEMM	437.345	C7H10O5	174.052825	-1.6787	-0.261	5	3	86.99	2.636
G5	C1(C(C2(C(CCO2)(C1)O)O)O)=O	GLJLCIRXHUNELM	96.9427	C7H10O5	174.052825	-1.606	-0.371	5	3	86.99	1.2371
G5	C1(C2(C(C)(C(C1CO2)O)O)O)=O	DZWYDNFDJQQFNW	94.6502	C7H10O5	174.052825	-1.6787	-0.261	5	3	86.99	2.9621
G5	C1(C(C(C(C(C1)O)(C)O)O)O)=O	DEVXAUFPAGRXMU	435.013	C7H12O5	176.068475	-1.7668	-0.315	5	4	97.99	3.5644
G5	C1(C2(C(C(C1CO2)O)O)O)=O	JKLONEGBOITTOR	90.5511	C6H8O5	160.037175	-1.9767	-0.152	5	3	86.99	0.75891
G5	C1(C(CC(CC1(CO)O)O)=O)=O	UMJBVKRXKQLSHB	1020.39	C7H10O5	174.052825	-1.6977	-0.258	5	3	94.83	-6.6312
G5	C1(CC(C(C(C1)O)=O)(CO)O)=O	NBORJJJZJSSRDT	53.8621	C7H10O5	174.052825	-1.6977	-0.258	5	3	94.83	-1.2092
G5	C(C1(C(CO)(CC(C1)=O)O)O)=O	SGVMMTGKZFHVIX	54.417	C7H10O5	174.052825	-2.1723	-0.153	5	3	94.83	-5.7675
G5	C(C1CC(C(C1O)=O)(CO)O)=O	CBJFVCAQPHDOOO	58.3203	C7H10O5	174.052825	-2.201	-0.204	5	3	94.83	-5.23
G5	C1(C(C(C=CC1(CO)O)O)O)=O	JXVKELKRBWBPPG	103.798	C7H10O5	174.052825	-2.1168	0.021	5	4	97.99	0.8214
G5	C1(C2CC(C(CO)(O2)O)(C1)O)=O	MRDXJXVHKXLQLK	91.3081	C7H10O5	174.052825	-1.6979	-0.371	5	3	86.99	0.37
G5	C1(CC2(CC1(CO)OC2O)O)=O	SRQAGNYLXSVFOM	62.1092	C7H10O5	174.052825	-1.6642	-0.233	5	3	86.99	-2.5799
G5	C1(C2(CO)CC(C1C(O2)O)O)=O	WCMORHVZZSJDNI	29.4715	C7H10O5	174.052825	-1.6929	-0.284	5	3	86.99	-1.9817
