Generation	Smiles	Inchi	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms	ESOL
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	150.05282342	C5H10O5	5	10	5	-2.6096	0.366	5	4	97.99	0.075465	5	1.3128517714458556
G3	C(C(C=CC(C(CO)O)=O)O)=O	PECKTJPRIPKDII	174.05282342	C7H10O5	7	10	5	-2.1653	-0.161	5	3	94.83	-1.1894	5	0.5916756861283502
G3	C(C(C(CO)C(C)(CO)O)=O)=O	CXPPRUZKJNBMRP	176.068473484	C7H12O5	7	12	5	-2.1279	-0.01	5	3	94.83	-4.3175	5	0.5178956673084517
G3	C(CC(C(CCO)=O)O)(CO)=O	YYPVNCVLLSLFEF	176.068473484	C7H12O5	7	12	5	-1.732	-0.225	5	3	94.83	-2.7342	5	0.41447199634208604
G3	C(C(CCO)(CC(CO)=O)O)=O	WMVYVSBRFRLARJ	176.068473484	C7H12O5	7	12	5	-1.8918	-0.12	5	3	94.83	-7.0908	5	0.41447199634208604
G3	C(C(CCO)(C(C(C)=O)O)O)=O	OSRCTLXHJURJSV	176.068473484	C7H12O5	7	12	5	-1.9869	-0.228	5	3	94.83	-3.861	5	0.41220712909987334
G3	C(C(C(CO)(C)O)O)(CCO)=O	KBVUTNHBGBKSDZ	178.084123548	C7H14O5	7	14	5	-1.7746	-0.013	5	4	97.99	-2.8134	5	0.552103375949388
G3	C(CO)(C(CO)C(CO)(C)O)=O	OSJPDGKAMMTTGQ	178.084123548	C7H14O5	7	14	5	-1.9156	0.205	5	4	97.99	-1.3321	5	0.6577919141579663
G3	C(CO)(CC(CO)(CCO)O)=O	PLGOEWNSOOGISL	178.084123548	C7H14O5	7	14	5	-1.6795	0.095	5	4	97.99	-3.8122	5	0.5543682431916003
G3	C(C)(C(C(CO)(CCO)O)O)=O	YFVHWIATBOLLAX	178.084123548	C7H14O5	7	14	5	-1.7746	-0.013	5	4	97.99	-3.6848	5	0.5521033759493877
G3	C(C(C(C)O)O)(CCO)=O	DKJDDXJJYXHLFR	148.073558864	C6H12O4	6	12	4	-1.2285	-0.411	4	3	77.76	-1.7047	4	0.2744231899862284
G3	C(CO)(C(CO)C(C)O)=O	UCBNXCDBZHMDGF	148.073558864	C6H12O4	6	12	4	-1.3695	-0.193	4	3	77.76	0.03168	4	0.38011172819480676
G3	C(CC(CO)(CCO)O)=O	JCOSEBVXWDUOFU	148.073558864	C6H12O4	6	12	4	-1.2932	-0.198	4	3	77.76	-7.4966	4	0.27668805722844103
G3	C(C(C(C=O)O)O)(CC(C)O)=O	HDSWTILTIGAHJT	176.068473484	C7H12O5	7	12	5	-2.0082	-0.497	5	3	94.83	-4.6314	5	0.41339380742361886
G3	C(CC(C(C(C(C)=O)O)O)O)=O	BPNLIVPLQNLIGW	176.068473484	C7H12O5	7	12	5	-2.0082	-0.497	5	3	94.83	-0.8032	5	0.41339380742361864
G3	C(CC(C)(C(C(C=O)O)O)O)=O	ZHKXGIAQAXTAMP	176.068473484	C7H12O5	7	12	5	-2.168	-0.392	5	3	94.83	0.033665	5	0.41339380742361886
G3	C(CO)(CC(CO)(C)O)=O	GRCKFGQFRRODIE	148.073558864	C6H12O4	6	12	4	-1.2072	-0.142	4	3	77.76	-4.5919	4	0.2732365116624831
G3	C(C)(C(C(CO)(C)O)O)=O	CBUKMSAKZIPOGL	148.073558864	C6H12O4	6	12	4	-1.3023	-0.25	4	3	77.76	-1.312	4	0.2709716444202704
G3	C(C(CC(CC(CO)=O)O)O)=O	YXINUGWAIZLHJK	176.068473484	C7H12O5	7	12	5	-1.9131	-0.389	5	3	94.83	-4.9646	5	0.41565867466583134
G3	C(C(CC(C(C(C)=O)O)O)O)=O	QXPRRNBQNVREIJ	176.068473484	C7H12O5	7	12	5	-2.0082	-0.497	5	3	94.83	-2.1999	5	0.41339380742361886
